latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,acq_datetime
21.1909,81.19912,312.64,0.39,0.36,2026-05-01,20:23,SNPP,SNPP,n,2.0NRT,297.39,1.76,N,2026-05-01 20:23:00
21.18909,81.21025,308.89,0.39,0.36,2026-05-01,20:23,SNPP,SNPP,n,2.0NRT,297.2,1.62,N,2026-05-01 20:23:00
21.15675,81.23235,344.21,0.52,0.42,2026-05-02,07:35,SNPP,SNPP,n,2.0NRT,311.75,8.28,D,2026-05-02 07:35:00
21.22904,81.21278,342.68,0.41,0.37,2026-05-06,08:01,SNPP,SNPP,l,2.0NRT,314.57,10.31,D,2026-05-06 08:01:00
21.18944,81.19785,310.03,0.42,0.38,2026-05-06,20:32,SNPP,SNPP,n,2.0NRT,294.79,1.24,N,2026-05-06 20:32:00
21.18737,81.20992,305.58,0.42,0.38,2026-05-06,20:32,SNPP,SNPP,n,2.0NRT,294.42,1.07,N,2026-05-06 20:32:00
21.19664,81.20936,305.49,0.51,0.49,2026-05-08,19:53,SNPP,SNPP,n,2.0NRT,294.41,1.55,N,2026-05-08 19:53:00
21.21684,81.21048,333.26,0.53,0.67,2026-05-09,07:05,SNPP,SNPP,n,2.0NRT,302.45,3.1,D,2026-05-09 07:05:00
21.18948,81.2,314.59,0.39,0.36,2026-05-12,20:17,SNPP,SNPP,n,2.0NRT,298.07,1.34,N,2026-05-12 20:17:00
21.11578,81.32872,341.27,0.51,0.41,2026-05-18,07:37,SNPP,SNPP,n,2.0NRT,308.22,5.82,D,2026-05-18 07:37:00
21.23326,81.18624,341.98,0.47,0.48,2026-05-21,08:22,SNPP,SNPP,l,2.0NRT,314.16,8.19,D,2026-05-21 08:22:00
21.23052,81.26396,340.79,0.41,0.37,2026-05-22,08:01,SNPP,SNPP,n,2.0NRT,300.47,2.82,D,2026-05-22 08:01:00
21.14486,81.27795,340.97,0.44,0.38,2026-05-23,07:44,SNPP,SNPP,l,2.0NRT,315.16,8.39,D,2026-05-23 07:44:00
21.20111,81.22632,341.09,0.47,0.4,2026-05-27,08:09,SNPP,SNPP,l,2.0NRT,314.47,12.27,D,2026-05-27 08:09:00
21.18957,81.19695,310.96,0.39,0.36,2026-05-28,20:19,SNPP,SNPP,n,2.0NRT,297.61,1.53,N,2026-05-28 20:19:00
21.15474,81.25944,355.77,0.44,0.38,2026-06-08,07:44,SNPP,SNPP,l,2.0NRT,306.44,9.46,D,2026-06-08 07:44:00
21.15404,81.25526,341.53,0.44,0.38,2026-06-08,07:44,SNPP,SNPP,l,2.0NRT,305.5,9.46,D,2026-06-08 07:44:00
21.15754,81.25458,348.17,0.44,0.38,2026-06-08,07:44,SNPP,SNPP,l,2.0NRT,304.58,19.57,D,2026-06-08 07:44:00
21.1738,81.27459,337.84,0.53,0.5,2026-06-09,07:26,SNPP,SNPP,n,2.0NRT,303.59,5.78,D,2026-06-09 07:26:00
21.20576,81.26737,333.76,0.53,0.5,2026-06-09,07:26,SNPP,SNPP,n,2.0NRT,303.05,2.9,D,2026-06-09 07:26:00
21.20569,81.26968,333.84,0.53,0.5,2026-06-09,07:26,SNPP,SNPP,n,2.0NRT,303.09,3.93,D,2026-06-09 07:26:00
21.16343,81.23977,335.05,0.39,0.36,2026-06-13,07:50,SNPP,SNPP,l,2.0NRT,305.19,3.76,D,2026-06-13 07:50:00
21.1160,81.3290,342.0,0.45,0.40,2026-05-20,07:30,SYNTHETIC,SYNTHETIC,n,prototype,310.0,7.20,D,2026-05-20 07:30:00
21.1162,81.3291,344.0,0.45,0.40,2026-05-23,07:35,SYNTHETIC,SYNTHETIC,n,prototype,311.0,8.10,D,2026-05-23 07:35:00
21.1159,81.3288,343.0,0.45,0.40,2026-05-27,07:32,SYNTHETIC,SYNTHETIC,n,prototype,310.5,7.80,D,2026-05-27 07:32:00
21.1161,81.3292,345.0,0.45,0.40,2026-05-30,07:38,SYNTHETIC,SYNTHETIC,n,prototype,311.2,8.50,D,2026-05-30 07:38:00
21.1450,81.2780,340.0,0.45,0.40,2026-05-25,07:40,SYNTHETIC,SYNTHETIC,n,prototype,309.0,6.50,D,2026-05-25 07:40:00
21.1452,81.2781,341.0,0.45,0.40,2026-05-28,07:42,SYNTHETIC,SYNTHETIC,n,prototype,309.5,6.80,D,2026-05-28 07:42:00
21.1545,81.2550,350.0,0.45,0.40,2026-06-10,07:40,SYNTHETIC,SYNTHETIC,n,prototype,312.0,15.00,D,2026-06-10 07:40:00
21.1546,81.2552,351.0,0.45,0.40,2026-06-12,07:42,SYNTHETIC,SYNTHETIC,n,prototype,312.5,16.00,D,2026-06-12 07:42:00
