hotspot_id,latitude,longitude,detection_count,active_days,first_date,last_date,avg_frp
H001,21.116,81.329,1,1,2026-05-18,2026-05-18,5.82
H002,21.145,81.278,1,1,2026-05-23,2026-05-23,8.39
H003,21.154,81.255,1,1,2026-06-08,2026-06-08,9.46
H004,21.155,81.259,1,1,2026-06-08,2026-06-08,9.46
H005,21.157,81.232,1,1,2026-05-02,2026-05-02,8.28
H006,21.158,81.255,1,1,2026-06-08,2026-06-08,19.57
H007,21.163,81.24,1,1,2026-06-13,2026-06-13,3.76
H008,21.174,81.275,1,1,2026-06-09,2026-06-09,5.78
H009,21.187,81.21,1,1,2026-05-06,2026-05-06,1.07
H010,21.189,81.198,1,1,2026-05-06,2026-05-06,1.24
H011,21.189,81.2,1,1,2026-05-12,2026-05-12,1.34
H012,21.189,81.21,1,1,2026-05-01,2026-05-01,1.62
H013,21.19,81.197,1,1,2026-05-28,2026-05-28,1.53
H014,21.191,81.199,1,1,2026-05-01,2026-05-01,1.76
H015,21.197,81.209,1,1,2026-05-08,2026-05-08,1.55
H016,21.201,81.226,1,1,2026-05-27,2026-05-27,12.27
H017,21.206,81.267,1,1,2026-06-09,2026-06-09,2.9
H018,21.206,81.27,1,1,2026-06-09,2026-06-09,3.93
H019,21.217,81.21,1,1,2026-05-09,2026-05-09,3.1
H020,21.229,81.213,1,1,2026-05-06,2026-05-06,10.31
H021,21.231,81.264,1,1,2026-05-22,2026-05-22,2.82
H022,21.233,81.186,1,1,2026-05-21,2026-05-21,8.19
